tick,time[us]
1,855
2,822
3,854
4,860
5,823
6,843
7,863
8,819
9,876
10,861
11,820
12,856
13,862
14,822
15,843
16,861
17,822
18,874
19,859
20,822
21,854
22,861
23,823
24,845
25,861
26,820
27,876
28,859
29,822
30,854
31,860
32,822
33,843
34,862
35,817
36,876
37,860
38,821
39,854
40,859
41,821
42,843
43,861
44,822
45,874
46,859
47,823
48,854
49,859
50,822
51,843
52,861
53,822
54,875
55,859
56,822
57,853
58,859
59,823
60,845
61,862
62,821
63,874
64,859
65,822
66,855
67,859
68,823
69,845
70,861
71,823
72,875
73,861
74,820
75,856
76,862
77,821
78,845
79,862
80,819
81,877
82,860
83,822
84,855
85,862
86,822
87,845
88,862
89,822
90,876
91,860
92,822
93,853
94,860
95,823
96,844
97,862
98,821
99,875
100,862
101,823
102,854
103,859
104,823
105,845
106,864
107,820
108,875
109,861
110,823
111,854
112,861
113,822
114,844
115,861
116,822
117,876
118,866
119,838
120,879
121,892
122,859
123,890
124,914
125,882
126,945
127,942
128,918
129,962
130,978
131,942
132,977
133,1006
134,967
135,1041
136,1040
137,1006
138,1057
139,1077
140,1038
141,1079
142,1113
143,1071
144,1155
145,1150
146,1117
147,1173
148,1194
149,1154
150,1196
151,1235
152,1189
153,1283
154,1280
155,1246
156,1310
157,1336
158,641
159,649
160,1343
161,1388
162,1339
163,1448
164,1451
165,1412
166,1488
167,1526
168,1482
169,1547
170,1608
171,1559
172,1694
173,1709
174,1679
175,1784
176,1841
177,1802
178,1896
179,1989
180,1950
181,2135
182,2186
183,2184
184,2353
185,2461
186,2445
187,2613
188,2786
189,2773
190,3102
191,3358
192,4615
193,6722
194,9491
195,13340
196,16700
197,17138
198,16367
199,17740
200,17466
201,16642
202,17312
203,17455
204,16452
205,16837
206,17122
207,16074
208,17087
209,17172
210,16470
211,17254
212,17501
213,16429
214,16687
215,16925
216,15942
217,17114
218,17251
219,16577
220,17272
221,17516
222,16390
223,16718
224,17011
225,16018
226,17090
227,17215
228,16538
229,17221
230,17432
231,16454
232,16752
233,16938
234,15995
235,17089
236,17321
237,16583
238,17222
239,17582
240,16572
241,16847
242,16943
243,16001
244,17062
245,17248
246,16733
247,17357
248,17485
249,16499
250,16714
251,17082
252,16052
253,17060
254,17212
255,16680
256,17394
257,17562
258,16511
259,16795
260,17072
261,16010
262,17063
263,17148
264,16541
265,17200
266,17463
267,16492
268,16832
269,17092
270,16058
271,17056
272,17258
273,16614
274,17351
275,17494
276,16389
277,16664
278,17001
279,16019
280,17158
281,17279
282,16717
283,17374
284,17541
285,16504
286,16799
287,17067
288,15921
289,17015
290,17133
291,16513
292,17438
293,17644
294,16566
295,16815
296,17091
297,15961
298,17054
299,17177
300,16599
301,17174
302,17419
303,16373
304,16658
305,16971
306,15895
307,17071
308,17158
309,16600
310,17198
311,17550
312,16572
313,16776
314,16995
315,15911
316,16958
317,16972
318,16476
319,17302
320,17556
321,16474
322,16773
323,16986
324,15963
325,16999
326,17009
327,16470
328,17257
329,17511
330,16497
331,16756
332,17038
333,16046
334,17057
335,17067
336,16502
337,17301
338,17468
339,16430
340,16685
341,16964
342,15919
343,16963
344,17022
345,16511
346,17242
347,17538
348,16433
349,16836
350,17043
351,16053
352,17044
353,17089
354,16481
355,17257
356,17456
357,16542
358,16829
359,17036
360,16031
361,17101
362,17160
363,16522
