tick,time[us]
1,851
2,818
3,850
4,856
5,818
6,841
7,855
8,817
9,870
10,855
11,818
12,851
13,854
14,817
15,841
16,854
17,816
18,869
19,855
20,817
21,850
22,854
23,817
24,838
25,856
26,816
27,869
28,853
29,816
30,850
31,853
32,818
33,838
34,854
35,817
36,869
37,853
38,816
39,849
40,852
41,817
42,838
43,855
44,816
45,871
46,854
47,816
48,848
49,854
50,817
51,838
52,854
53,816
54,870
55,853
56,816
57,849
58,853
59,817
60,839
61,855
62,817
63,869
64,854
65,816
66,848
67,853
68,816
69,838
70,854
71,816
72,868
73,855
74,816
75,847
76,853
77,817
78,838
79,854
80,814
81,869
82,853
83,816
84,848
85,853
86,816
87,837
88,855
89,814
90,869
91,854
92,816
93,848
94,853
95,816
96,838
97,854
98,816
99,868
100,853
101,816
102,848
103,854
104,817
105,839
106,855
107,814
108,870
109,853
110,815
111,848
112,853
113,816
114,838
115,855
116,814
117,870
118,849
119,818
120,858
121,869
122,841
123,867
124,890
125,856
126,920
127,909
128,880
129,919
130,933
131,902
132,933
133,958
134,924
135,993
136,981
137,948
138,991
139,458
140,550
141,974
142,1008
143,1032
144,997
145,1070
146,1059
147,1020
148,1071
149,1084
150,1048
151,1082
152,1114
153,1071
154,1150
155,1141
156,1099
157,1153
158,1171
159,1129
160,1171
161,1202
162,1159
163,1247
164,1231
165,1191
166,1248
167,1268
168,1227
169,1271
170,1310
171,1265
172,1364
173,1353
174,1312
175,1378
176,1406
177,1366
178,1420
179,1465
180,1419
181,1535
182,1528
183,1485
184,1567
185,1605
186,1564
187,1633
188,1691
189,1649
190,1790
191,1792
192,1753
193,1861
194,1912
195,1875
196,1970
197,2055
198,2014
199,2201
200,2224
201,2192
202,2349
203,2440
204,2416
205,2569
206,2714
207,2699
208,3002
209,3091
210,3126
211,3442
212,3709
213,3837
214,4297
215,4847
216,5220
217,6520
218,8079
