tempo(us),velocidade_angular(rad/seg),pwm_4095(0V)-0(17V)
12452948,4.7420,3194
12852949,4.3773,3194
13252949,4.3773,3194
13652949,4.7420,3194
14052949,4.7420,3194
14452948,5.1068,3044
14852949,5.4716,3044
15252948,5.4716,3044
15652949,5.4716,3044
16052948,5.4716,3044
16452949,6.5659,2894
16852949,6.2011,2894
17252949,6.2011,2894
17652949,6.2011,2894
18052948,6.2011,2894
18452949,6.9307,2744
18852949,6.9307,2744
19252949,6.9307,2744
19652949,6.9307,2744
20052949,6.9307,2744
20452948,7.2954,2594
20852948,7.6602,2594
21252948,7.6602,2594
21652948,7.6602,2594
22052948,7.2954,2594
22452949,8.3897,2444
22852948,6.2011,2444
23252949,8.0250,2444
23652948,8.0250,2444
24052949,8.0250,2444
24452948,8.3897,2294
24852948,8.3897,2294
25252949,8.0250,2294
25652949,8.7545,2294
26052948,8.3897,2294
26452948,9.1193,2144
26852949,8.7545,2144
27252949,9.4841,2144
27652949,9.1193,2144
28052948,8.7545,2144
28452949,9.4841,1994
28852948,9.1193,1994
29252950,9.4841,1994
29652948,45.5964,1994
30052948,9.1193,1994
30452950,9.4841,1844
30852948,9.4841,1844
31252948,9.4841,1844
31652948,9.8488,1844
32052948,9.4841,1844
32452948,9.4841,1694
32852948,9.8488,1694
33252948,9.4841,1694
33652949,9.8488,1694
34052948,9.8488,1694
34452949,10.2136,1544
34852948,10.2136,1544
35252948,10.2136,1544
35652948,10.2136,1544
36052949,10.2136,1544
36452949,10.2136,1394
36852948,10.2136,1394
37252949,10.2136,1394
37652948,10.2136,1394
38052948,10.5784,1394
38452948,10.5784,1244
38852949,10.5784,1244
39252949,10.5784,1244
39652949,10.5784,1244
40052948,10.5784,1244
40452948,10.5784,1094
40852948,10.9431,1094
41252948,10.9431,1094
41652949,10.2136,1094
42052948,10.5784,1094
42452948,10.9431,944
42852948,10.5784,944
43252948,10.9431,944
43652949,10.9431,944
44052949,10.9431,944
44452948,11.3079,794
44852948,11.3079,794
45252949,10.9431,794
45652948,10.9431,794
46052949,11.3079,794
46452948,10.9431,644
46852949,11.3079,644
47252949,11.3079,644
47652949,11.3079,644
48052948,11.3079,644
48452949,11.3079,494
48852948,11.3079,494
49252949,11.3079,494
49652948,10.9431,494
50052949,11.3079,494
50452949,11.3079,344
50852948,11.3079,344
51252948,11.3079,344
51652949,11.3079,344
52052948,11.6727,344
52452948,11.6727,194
52852949,11.6727,194
53252949,11.6727,194
53652948,11.6727,194
54052948,11.6727,194
54452949,12.4022,44
54852948,12.4022,44
55252949,12.0375,44
55652949,12.0375,44
56052949,12.4022,44
56452949,0.0000,4094
56852949,0.0000,4094
57252948,0.0000,4094
57652949,0.0000,4094
58052948,0.0000,4094
58452949,0.0000,3944
58852949,0.0000,3944
59252948,0.0000,3944
59652949,0.0000,3944
60052948,0.0000,3944
60452949,0.7295,3794
60852949,0.3648,3794
61252949,0.3648,3794
61652949,0.7295,3794
