componente,qnt,massa[g],v[mm^3],n_massa[g]
base bateria,1,29,33503.273,31.688321690442713
bateria,4,45,16516.817,46.325318794918125
BMS,1,5,12980,6.041522586224527
Button,1,5,2056.9641,5.165051969892374
divisor,1,2,281.13274,2.0225582510352225
ESP,1,19,7752.4301,19.622059402717788
LEDctrl,1,4,1489.6991,4.119534303492169
Buck,1,10,4346.7007,10.34878173764314
Accel,2,3,601.79967,3.0482887479728404
P2,1,1,732.5228,1.0587780463115894
Swt,1,3,1242.3587,3.0996875690479615
Sup Ctrl,1,63,92852.657,70.45055003516633
Motor,2,124,32350.55,126.59582654096964
Sup Motor,2,27,26424.997,29.120356796334004
Sup Lower,1,36,39371.147,39.159163239296305
8M3,10,0.6923,127.82355,0.7025566343895532
15M3,23,1.054,177.30364,1.068226944967629
20M3,20,1.3125,212.64655,1.3295628801777908
Arruela,26,0,15.221016,0.0012213429853070044
Porca,33,0.6,41.75602,0.60335052680592
Lat Ex,2,30,31412.223,32.520534648537875
Lat In,2,37,38785.474,40.11216850450109
