tick,time[us]
0,65535
1,838
2,856
3,819
4,872
5,856
6,819
7,853
8,855
9,819
10,843
11,858
12,817
13,872
14,856
15,818
16,851
17,854
18,819
19,841
20,856
21,817
22,872
23,856
24,817
25,853
26,854
27,821
28,840
29,857
30,818
31,872
32,857
33,820
34,851
35,858
36,819
37,841
38,857
39,818
40,872
41,857
42,817
43,853
44,855
45,819
46,842
47,856
48,817
49,873
50,857
51,818
52,854
53,854
54,818
55,843
56,856
57,818
58,873
59,855
60,820
61,850
62,855
63,819
64,841
65,856
66,817
67,873
68,854
69,818
70,853
71,854
72,819
73,841
74,856
75,817
76,872
77,856
78,817
79,850
80,855
81,819
82,841
83,855
84,818
85,872
86,856
87,817
88,851
89,854
90,820
91,841
92,855
93,818
94,876
95,850
96,818
97,850
98,855
99,820
100,841
101,855
102,818
103,872
104,855
105,818
106,850
107,855
108,819
109,841
110,855
111,818
112,872
113,854
114,818
115,851
116,856
117,818
118,841
119,860
120,831
121,889
122,880
123,849
124,887
125,900
126,869
127,899
128,922
129,890
130,956
131,945
132,913
133,955
134,971
135,937
136,972
137,997
138,962
139,1035
140,1025
141,991
142,1040
143,1053
144,1020
145,1057
146,1090
147,1051
148,1131
149,1121
150,1083
151,1137
152,1154
153,1119
154,1160
155,584
156,610
157,1154
158,1243
159,1234
160,1193
161,1255
162,1275
163,1240
164,1285
165,1325
166,1284
167,1382
168,1377
169,1336
170,1405
171,1434
172,1395
173,1453
174,1500
175,1457
176,1578
177,1573
178,1534
179,1620
180,1661
181,1623
182,1697
183,1763
184,1723
185,1872
186,1881
187,1847
188,1964
189,2032
190,2000
191,2111
192,2213
193,2180
194,2402
195,2441
196,2433
197,2631
198,2768
199,2786
200,3005
201,3234
202,3280
203,3730
204,3971
205,4182
206,4867
207,5676
208,6624
