i,time,raw_accel,raw_gyro,kalman_accel
0,3459916,-0.03489241,1.13378906,-0.08728115
1,3462054,-0.19389372,1.07275391,-0.08746077
2,3464064,-0.13201066,0.95068359,-0.08711380
3,3466056,-0.29753669,3.69726562,-0.08821283
4,3468103,-0.32630573,5.83349609,-0.08950466
5,3470112,-0.51358581,11.02148438,-0.09230276
6,3472089,-0.64049446,19.74951172,-0.09597042
7,3474082,-0.64903791,30.36962891,-0.09935845
8,3476072,-0.73014839,43.12597656,-0.10302319
9,3478109,-0.61831711,56.00439453,-0.10520786
10,3480091,-0.57781461,69.79833984,-0.10647243
11,3482083,-0.57913482,81.70019531,-0.10742937
12,3484076,-0.39380565,91.09960938,-0.10634773
13,3486057,-0.38808224,99.70556641,-0.10493639
14,3488111,-0.18740800,106.35839844,-0.10149726
15,3490100,-0.07125781,111.11914062,-0.09670117
16,3492085,-0.03830728,113.80468750,-0.09169635
17,3494077,-0.06091074,115.45263672,-0.08689632
18,3496059,-0.08826731,117.77197266,-0.08229555
19,3498111,0.15580645,118.93164062,-0.07547521
20,3500099,0.21192687,119.41992188,-0.06801195
21,3502084,0.02879510,118.87060547,-0.06246407
22,3504076,0.12715542,117.52783203,-0.05611409
23,3506057,0.17319833,117.16162109,-0.04938677
24,3508111,0.34300835,116.55126953,-0.04119903
25,3510099,0.33773242,113.62158203,-0.03305463
26,3512084,0.38177938,110.81396484,-0.02481376
27,3514080,0.48397455,106.35839844,-0.01585558
28,3516077,0.49775503,101.71972656,0.00000000
29,3518087,0.57230555,96.04345703,0.00000000
30,3520082,0.47427006,90.36718750,0.01051102
31,3522072,0.69714817,83.77539062,0.02042115
32,3524068,0.68974047,75.77978516,0.02990725
33,3526069,0.86958968,65.34277344,0.04063913
34,3528088,0.73093634,54.11230469,0.04963744
35,3530083,0.71965057,41.11181641,0.05804018
36,3532080,0.64535602,27.68408203,0.06521195
37,3534076,0.54898870,15.59912109,0.07102961
38,3536061,0.73132208,0.52343750,0.07797445
39,3538088,0.56080185,-9.30322266,0.08295745
40,3540079,0.39489908,-19.55712891,0.08602818
41,3542060,0.23330610,-28.77343750,0.08726535
42,3544053,0.21915206,-35.18212891,0.08814605
43,3546051,0.18034398,-38.23388672,0.08855656
44,3548085,0.32311179,-41.83496094,0.09016234
45,3550078,0.36551100,-42.75048828,0.09211098
46,3552063,0.63280249,-47.45019531,0.09637581
47,3554059,0.65378087,-53.06542969,0.10062206
48,3556056,0.53189762,-60.63378906,0.10345212
49,3558090,0.40094690,-68.81250000,0.10477316
50,3560122,0.37117148,-76.93017578,0.10550342
51,3562172,0.47935103,-86.51269531,0.10690496
52,3564170,0.25784800,-93.77587891,0.10597449
53,3566154,0.06064163,-99.57421875,0.10309460
54,3568221,-0.16005927,-104.02978516,0.09805264
55,3570205,-0.14850017,-109.27880859,0.09285935
56,3572188,-0.07993867,-112.45263672,0.08835139
57,3574172,-0.21864364,-113.79541016,0.08254827
58,3576155,-0.26912716,-115.26025391,0.07627118
59,3578223,-0.26023486,-114.03955078,0.07016631
60,3580207,-0.25779276,-111.84228516,0.06407971
61,3582191,-0.26498711,-109.40087891,0.05818048
62,3584160,-0.27101494,-107.26464844,0.05234354
63,3586129,-0.25490617,-105.00634766,0.04679885
64,3588197,-0.27463438,-102.19873047,0.04120911
65,3590181,-0.37369577,-99.02490234,0.03472206
66,3592165,-0.42062462,-94.20312500,0.02811928
67,3594149,-0.34887196,-89.86962891,0.02238085
68,3596133,-0.34324239,-84.01025391,0.01693662
69,3598211,-0.39035126,-78.27294922,0.01129107
70,3600199,-0.50598166,-72.35253906,0.00000000
71,3602187,-0.56510342,-66.37109375,0.00000000
72,3604174,-0.61151467,-60.93896484,0.00000000
73,3606161,-0.65299869,-52.76025391,-0.01606280
74,3608228,-0.65592797,-42.14013672,-0.02271549
75,3610215,-0.51436410,-32.00830078,-0.02767812
76,3612207,-0.50304150,-20.04541016,-0.03207824
77,3614195,-0.55667132,-9.54736328,-0.03658925
78,3616168,-0.54327828,1.86621094,-0.04055776
79,3618249,-0.50476824,13.64599609,-0.04375037
80,3620233,-0.25816915,23.96093750,-0.04420193
81,3622217,-0.12387056,32.75000000,-0.04317695
82,3624203,-0.04872702,37.69384766,-0.04129539
83,3626187,-0.06627282,40.62353516,-0.03949237
84,3628239,0.05277122,41.53906250,-0.03657018
85,3630222,0.02457708,43.06494141,-0.03380970
86,3632206,-0.05729520,42.88183594,-0.03191402
87,3634189,-0.25618235,43.00390625,-0.03188395
88,3636172,-0.14947285,43.67529297,-0.03084589
89,3638250,-0.02517548,43.06494141,-0.02868443
90,3640233,0.03933110,44.83496094,-0.02577802
91,3642216,-0.02519347,45.44531250,-0.02358039
92,3644204,-0.10287696,45.44531250,-0.02212599
93,3646187,-0.04131028,45.62841797,-0.02010283
94,3648238,0.11917957,46.66601562,-0.01657626
95,3650222,0.06726404,48.13085938,-0.01343270
96,3652205,-0.00935111,49.16845703,-0.01107064
97,3654189,0.02596172,51.06054688,0.00000000
98,3656157,0.15919775,53.07470703,0.00000000
99,3658204,0.27152506,54.60058594,0.00000000
100,3660232,0.40532786,54.90576172,0.00000000
101,3662285,0.49459847,54.11230469,0.01423118
102,3664274,0.55024765,50.57226562,0.02170362
103,3666260,0.66534079,46.54394531,0.02998269
104,3668263,0.82568105,40.07421875,0.03946906
105,3670250,0.83574981,31.71240234,0.04871079
106,3672238,0.83005345,20.78710938,0.05744648
107,3674225,0.62609748,10.10595703,0.06386017
108,3676212,0.57536134,-2.22314453,0.06933399
109,3678259,0.45670912,-13.51464844,0.07328100
110,3680243,0.21378760,-22.66992188,0.07463221
111,3682227,0.32994293,-30.29931641,0.07679118
112,3684211,0.31161199,-34.81591797,0.07861181
113,3686198,0.70339910,-42.50634766,0.08379745
114,3688260,0.81056941,-48.79296875,0.08973012
115,3690247,0.69918695,-58.98583984,0.09420161
116,3692234,0.48623624,-73.20703125,0.09622549
117,3694223,0.44528140,-85.78027344,0.09742930
118,3696206,0.35840398,-96.46142578,0.09745821
119,3698256,0.24132800,-107.14257812,0.09604624
120,3700239,0.11830299,-115.44335938,0.09312310
121,3702222,-0.15186754,-118.92236328,0.08770571
122,3704205,-0.25058678,-120.38720703,0.08136484
123,3706189,-0.16430152,-121.42480469,0.07583896
124,3708227,-0.18177754,-123.01171875,0.07014178
125,3710211,-0.29394337,-121.85205078,0.06340071
126,3712194,-0.36194785,-119.95996094,0.05623508
127,3714162,-0.32861407,-118.61718750,0.04948335
128,3716131,-0.18651990,-117.57958984,0.04415911
129,3718198,-0.28853563,-115.99267578,0.03798604
130,3720181,-0.35863181,-115.01611328,0.03109340
131,3722164,-0.42538225,-111.90332031,0.02387426
132,3724148,-0.32930987,-109.27880859,0.01768839
133,3726132,-0.32780992,-107.14257812,0.01163954
134,3728211,-0.36125021,-104.64013672,0.00000000
135,3730198,-0.63836061,-101.95458984,0.00000000
136,3732185,-0.71190488,-97.74316406,-0.01249725
137,3734174,-0.71475143,-94.08105469,-0.02145881
138,3736161,-0.84874717,-84.74267578,-0.03127442
139,3738228,-0.82688513,-73.26806641,-0.04042281
140,3740216,-0.63814461,-62.89208984,-0.04746698
141,3742208,-0.80721930,-44.03222656,-0.05531761
142,3744196,-0.96860990,-29.38378906,-0.06410332
143,3746169,-0.92658047,-8.08251953,-0.07171011
144,3748249,-0.69056012,9.55664062,-0.07648973
145,3750236,-0.47145181,27.56201172,-0.07852363
146,3752223,-0.45308696,42.69873047,-0.07993098
147,3754206,-0.36014003,52.03710938,-0.08015634
148,3756189,-0.24004779,58.56787109,-0.07906100
149,3758239,-0.30924873,63.02343750,-0.07846388
150,3760257,-0.40771602,65.09863281,-0.07862109
151,3762291,-0.45661221,69.79833984,-0.07911147
152,3764279,-0.42900799,76.81738281,-0.07909965
153,3766263,-0.20696751,82.06640625,-0.07693247
154,3768273,-0.06191465,89.32958984,-0.07321011
155,3770256,-0.16334825,94.63964844,-0.07022453
156,3772239,-0.07316438,98.36279297,-0.06636226
157,3774223,0.04980618,102.26904297,-0.06126828
158,3776206,0.16666974,104.77148438,-0.05505989
159,3778272,0.33753553,105.74804688,-0.04729878
160,3780255,0.19323547,106.11425781,-0.04073821
161,3782239,0.29465039,104.58837891,-0.03352754
162,3784222,0.35018628,103.79492188,-0.02589244
163,3786206,0.36630338,101.23144531,-0.01825856
164,3788262,0.50322078,98.11865234,0.00000000
165,3790249,0.51802878,94.82275391,0.00000000
166,3792237,0.70044864,89.57373047,0.00000000
167,3794224,0.87683161,83.47021484,0.02084151
168,3796211,0.83674335,75.41357422,0.03155442
169,3798262,0.78976812,63.69482422,0.04135498
170,3800249,0.70288393,50.99951172,0.04993151
171,3802236,0.88316439,33.54345703,0.05941980
172,3804223,0.80272187,19.93261719,0.06763609
173,3806210,0.77017119,6.68798828,0.07504082
174,3808261,0.69552169,-7.10595703,0.08123722
175,3810248,0.59727259,-19.86230469,0.08605901
176,3812235,0.55527956,-32.25244141,0.09003583
177,3814218,0.37650041,-40.30908203,0.09207596
178,3816203,0.16802760,-46.16845703,0.09199874
179,3818259,0.12673861,-48.97607422,0.09145014
