n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM,computetime,sensortime
0,3463017,0.00068362,0.19082892,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,427,10000
1,3472655,0.00044731,-0.08156591,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
2,3482655,0.00036405,0.02382326,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
3,3492655,0.00041304,0.02683372,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
4,3502655,0.00040641,-0.00586967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
5,3512655,0.00037250,-0.00282214,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
6,3522655,0.00024390,-0.01906026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
7,3532655,0.00000132,-0.02939959,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
8,3542654,-0.00015885,0.00452974,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,65,10000
9,3552654,-0.00019677,0.01618111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,65,10000
10,3562655,-0.00004344,0.03731066,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
11,3572659,0.00000655,-0.01424476,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
12,3582657,-0.00010513,-0.03189144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,65,10000
13,3592655,-0.00029005,-0.02262148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
14,3602655,-0.00046092,-0.00943335,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
15,3612660,-0.00050865,0.01329779,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
16,3622656,-0.00044150,0.01779537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
17,3632656,-0.00042064,-0.00997617,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
18,3642656,-0.00044804,-0.01270712,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
19,3652656,-0.00060581,-0.03317238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
20,3662655,-0.00071375,-0.00289043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
21,3672655,-0.00073136,0.00757104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
22,3682655,-0.00063343,0.01773243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
23,3692656,-0.00061112,-0.01619217,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
24,3702655,-0.00063014,-0.01271567,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
25,3712655,-0.00076391,-0.03088057,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
26,3722655,-0.00079523,0.00838954,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
27,3732656,-0.00089304,-0.02260549,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
28,3742655,-0.00094013,-0.00183754,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
29,3752656,-0.00100155,-0.01346245,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
30,3762655,-0.00108868,-0.01717376,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
31,3772657,-0.00115169,-0.00860416,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
32,3782658,-0.00116826,-0.00303696,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
33,3792655,-0.00120809,-0.01561103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
34,3802656,-0.00118296,0.00173889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
35,3812660,-0.00123695,-0.02545693,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
36,3822655,-0.00117688,0.01127989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,66,10000
37,3832660,-0.00118277,-0.02069462,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
38,3842656,-0.00125482,-0.02432848,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
39,3852656,-0.00137914,-0.02554349,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
40,3862656,-0.00144035,-0.00466633,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
41,3872656,-0.00143846,-0.00177269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,67,10000
