n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM
0,3456984,-0.29654530,-4.28616144,-0.00000000,-4.28616144,-4.28616144,14.82935137,-52.30276931
1,3476652,-0.31128443,-5.16386801,0.41362790,-4.75024011,-9.03640154,14.72681546,-84.92264725
2,3496634,-0.28966071,0.85166598,0.87204083,1.72370681,-7.31269473,14.72681546,-73.21810177
3,3516636,-0.24022345,-0.30016102,0.70569777,0.40553675,-6.90715798,14.72681546,-70.46437169
4,3536635,-0.18656485,-1.51833174,0.66656221,-0.85176953,-7.75892751,14.72681546,-76.24817154
5,3556635,-0.16232519,-2.62086158,0.74876062,-1.87210096,-9.63102847,14.72681546,-88.96036286
6,3576635,-0.12785794,1.06610777,0.92942418,1.99553195,-7.63549652,14.77080900,-75.18543179
7,3596635,-0.07786608,2.03879391,0.73684914,2.77564306,-4.85985347,14.77080900,-56.39402330
8,3616635,-0.02828374,0.87578908,0.46899096,1.34478004,-3.51507343,14.77080900,-47.28971466
9,3636633,0.01927298,2.94910025,0.33921551,3.28831576,-0.22675766,14.77080900,-25.02745561
10,3656634,0.05142349,1.72993284,0.02188282,1.75181566,1.52505800,14.77080900,33.81709153
11,3676638,0.11789972,7.75990805,-0.14717284,7.61273521,9.13779321,14.87357331,84.76640375
12,3696634,0.14998869,1.28790300,-0.88182544,0.40607756,9.54387077,14.87357331,87.49659878
13,3716635,0.11445080,-5.05966140,-0.92101319,-5.98067459,3.56319618,14.87357331,47.28652646
14,3736635,0.05610536,-0.28330115,-0.34385951,-0.62716066,2.93603552,14.87357331,43.06991595
15,3756635,0.02637154,1.52295942,-0.28333655,1.23962286,4.17565839,14.87357331,51.40431440
16,3776634,0.00833705,-2.30076439,-0.40296401,-2.70372840,1.47192999,14.88048651,33.21080921
17,3796635,-0.00410861,-0.22353531,-0.14204582,-0.36558113,1.10634885,14.88048651,30.75402710
18,3816635,-0.02278345,-1.14233565,-0.10676610,-1.24910175,-0.14275290,14.88048651,-24.27845954
19,3836634,-0.04452558,-2.83847387,0.01377610,-2.82469777,-2.96745067,14.88048651,-43.26102284
20,3856635,-0.04734197,0.87251531,0.28636821,1.15888352,-1.80856715,14.88048651,-35.47308175
21,3876635,-0.00998727,4.25705317,0.17453235,4.43158552,2.62301837,14.84383914,41.04745621
22,3896633,0.06644756,6.01695986,-0.25312942,5.76383043,8.38684880,14.84383914,79.87723857
23,3916634,0.10129517,-0.56172828,-0.80935697,-1.37108525,7.01576355,14.84383914,70.64050920
24,3936635,0.06884563,-4.28940600,-0.67704299,-4.96644899,2.04931457,14.84383914,37.18252748
25,3956634,0.02278337,-0.26832576,-0.19776522,-0.46609099,1.58322358,14.84383914,34.04256495
26,3976634,0.01777777,2.78707610,-0.15278600,2.63429010,4.21751368,14.85810496,51.73953007
27,3996634,0.00111473,-3.97787825,-0.40700318,-4.38488143,-0.16736775,14.85810496,-24.48069765
28,4016634,-0.03561683,-3.66941168,0.01615151,-3.65326017,-3.82062792,14.85810496,-49.06835660
29,4036635,-0.04958834,1.92281470,0.36870247,2.29151716,-1.52911076,14.85810496,-33.64568210
30,4056634,-0.00515437,4.76777305,0.14756394,4.91533699,3.38622623,14.85810496,46.14468836
31,4076633,0.05940776,3.45424208,-0.32678135,3.12746072,6.51368695,14.85199322,67.22119251
32,4096634,0.07826971,-1.25396325,-0.62859103,-1.88255429,4.63113266,14.85199322,54.54576059
33,4116635,0.07070011,0.46648547,-0.44691869,0.01956678,4.65069944,14.85199322,54.67750571
34,4136634,0.02494054,-3.69762947,-0.44880695,-4.14643642,0.50426302,14.85199322,26.75912226
35,4156635,0.01660363,2.40181581,-0.04866295,2.35315286,2.85741588,14.85199322,42.60314283
36,4176634,-0.00511781,-2.37270283,-0.27574951,-2.64845234,0.20896354,14.84852845,24.77662049
37,4196635,-0.03056689,-3.37693795,-0.02016563,-3.39710359,-3.18814005,14.84852845,-44.84040334
38,4216635,-0.06623944,-2.11249666,0.30766542,-1.80483124,-4.99297128,14.84852845,-56.99535355
39,4236635,-0.08272750,-1.17726278,0.48183725,-0.69542554,-5.68839682,14.84852845,-61.67881790
40,4256635,-0.05696569,2.59653272,0.54894797,3.14548069,-2.54291613,14.84852845,-40.49503052
41,4276634,-0.01405243,2.22090287,0.24539931,2.46630218,-0.07661395,14.82485850,-23.92342527
42,4296634,0.00783791,-1.09311699,0.00739348,-1.08572350,-1.16233745,14.82485850,-31.24709386
43,4316634,0.02050918,1.45164945,0.11216918,1.56381863,0.40148118,14.82485850,26.11479347
44,4336634,0.05801871,5.37306413,-0.03874418,5.33431995,5.73580113,14.82485850,62.09705900
45,4356634,0.05610821,-3.46710061,-0.55352263,-4.02062324,1.71517789,14.82485850,34.97623864
46,4376635,0.03605999,-1.00372875,-0.16552000,-1.16924875,0.54592914,14.81218742,27.11233002
47,4396635,-0.02085819,-3.62641380,-0.05268386,-3.67909766,-3.13316852,14.81218742,-44.57929363
48,4416635,-0.03607973,0.92782856,0.30236050,1.23018906,-1.90297946,14.81218742,-36.27404454
49,4436634,-0.07473545,-5.18147085,0.18364343,-4.99782742,-6.90080688,14.81218742,-70.01536363
50,4456636,-0.06902737,1.94914247,0.66594931,2.61509178,-4.28571510,14.81218742,-52.36036299
51,4476635,-0.04482208,2.39447029,0.41358483,2.80805512,-1.47765999,14.85566065,-33.30488021
52,4496635,-0.00638752,0.62556804,0.14259878,0.76816682,-0.70949316,14.85566065,-28.13401074
53,4516634,0.00425775,-0.70487372,0.06846830,-0.63640542,-1.34589858,14.85566065,-32.41793614
54,4536634,0.00241664,0.13933087,0.12988340,0.26921426,-1.07668432,14.85566065,-30.60573628
55,4556634,0.00680095,1.11538160,0.10390338,1.21928498,0.14260066,14.85566065,24.31800741
56,4576633,0.02743964,2.29705613,-0.01376141,2.28329472,2.42589538,14.85015906,39.70257396
57,4596634,0.04019489,0.39861656,-0.23410644,0.16451011,2.59040550,14.85015906,40.81037430
58,4616634,0.01014249,-4.25936361,-0.24998218,-4.50934579,-1.91894029,14.85015906,-36.28877155
59,4636635,-0.04712201,-4.15029980,0.18518370,-3.96511610,-5.88405639,14.85015906,-62.98960405
60,4656635,-0.06248231,2.34868128,0.56782973,2.91651101,-2.96754539,14.85015906,-43.35000966
61,4676635,-0.03385301,2.46535540,0.28637735,2.75173275,-0.21581263,14.82873881,-24.85587398
62,4696634,0.00844073,1.36641756,0.02082659,1.38724415,1.17143152,14.82873881,31.30024459
63,4716635,0.02263110,-0.27072872,-0.11304678,-0.38377550,0.78765602,14.82873881,28.71219240
64,4736634,0.04324633,3.17388522,-0.07601125,3.09787396,3.88552998,14.82873881,49.60320683
65,4756635,0.03348644,-2.18958381,-0.37496572,-2.56454953,1.32098045,14.82873881,32.30875205
66,4776635,0.01069032,-1.93707057,-0.12747872,-2.06454929,-0.74356883,14.82322430,-28.42545419
67,4796634,-0.04030695,-3.73076880,0.07175670,-3.65901209,-4.40258093,14.82322430,-53.10977401
68,4816634,-0.04099562,2.82805807,0.42486274,3.25292081,-1.14966012,14.82322430,-31.16501527
