i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
0,3008914,-0.01216891,-0.01220989,-0.01215849,-0.01212488,-0.01210921,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06733598
1,3018919,-0.01211639,-0.01216891,-0.01220989,-0.01215849,-0.01212488,-0.06733598,0.00000000,0.00000000,0.00000000,-0.06733598,-0.07052167
2,3028918,-0.01447337,-0.01211639,-0.01216891,-0.01220989,-0.01215849,-0.07052167,-0.06733598,0.00000000,0.00000000,-0.13785766,-0.24769634
3,3038919,-0.02441780,-0.01447337,-0.01211639,-0.01216891,-0.01220989,-0.24769634,-0.07052167,-0.06733598,0.00000000,-0.38555400,-0.70714658
4,3048914,-0.02374805,-0.02441780,-0.01447337,-0.01211639,-0.01216891,-0.70714658,-0.24769634,-0.07052167,-0.06733598,-1.09270058,0.35166757
5,3058922,-0.01495000,-0.02374805,-0.02441780,-0.01447337,-0.01211639,0.35166757,-0.70714658,-0.24769634,-0.07052167,-0.74103301,0.42403256
6,3068914,-0.00615776,-0.01495000,-0.02374805,-0.02441780,-0.01447337,0.42403256,0.35166757,-0.70714658,-0.24769634,-0.31700045,0.10362112
7,3078914,0.00060526,-0.00615776,-0.01495000,-0.02374805,-0.02441780,0.10362112,0.42403256,0.35166757,-0.70714658,-0.21337933,0.13425229
8,3088914,0.00543400,0.00060526,-0.00615776,-0.01495000,-0.02374805,0.13425229,0.10362112,0.42403256,0.35166757,-0.07912704,0.06429307
9,3098914,0.01175673,0.00543400,0.00060526,-0.00615776,-0.01495000,0.06429307,0.13425229,0.10362112,0.42403256,-0.01483397,0.25831596
10,3108914,0.01854705,0.01175673,0.00543400,0.00060526,-0.00615776,0.25831596,0.06429307,0.13425229,0.10362112,0.24348199,0.27942313
11,3118914,0.02574130,0.01854705,0.01175673,0.00543400,0.00060526,0.27942313,0.25831596,0.06429307,0.13425229,0.52290512,0.32578992
12,3128914,0.03416762,0.02574130,0.01854705,0.01175673,0.00543400,0.32578992,0.27942313,0.25831596,0.06429307,0.84869504,0.46167036
13,3138914,0.05069530,0.03416762,0.02574130,0.01854705,0.01175673,0.46167036,0.32578992,0.27942313,0.25831596,1.31036540,1.03512841
14,3148914,0.05908415,0.05069530,0.03416762,0.02574130,0.01854705,1.03512841,0.46167036,0.32578992,0.27942313,2.34549381,0.17648724
