i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
0,3008840,-0.26238728,-0.26234893,-0.26239539,-0.26260725,-0.26285134,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17592721
1,3018840,-0.26258389,-0.26238728,-0.26234893,-0.26239539,-0.26260725,-0.17592721,0.00000000,0.00000000,0.00000000,-0.17592721,-0.18711389
2,3028841,-0.26573429,-0.26258389,-0.26238728,-0.26234893,-0.26239539,-0.18711389,-0.17592721,0.00000000,0.00000000,-0.36304110,-0.21048102
3,3038840,-0.27148121,-0.26573429,-0.26258389,-0.26238728,-0.26234893,-0.21048102,-0.18711389,-0.17592721,0.00000000,-0.57352212,-0.23056063
4,3048840,-0.26885683,-0.27148121,-0.26573429,-0.26258389,-0.26238728,-0.23056063,-0.21048102,-0.18711389,-0.17592721,-0.80408275,-0.20880068
5,3058844,-0.26345922,-0.26885683,-0.27148121,-0.26573429,-0.26258389,-0.20880068,-0.23056063,-0.21048102,-0.18711389,-1.01288343,-0.22554812
6,3068840,-0.25614156,-0.26345922,-0.26885683,-0.27148121,-0.26573429,-0.22554812,-0.20880068,-0.23056063,-0.21048102,-1.23843155,-0.23342862
7,3078840,-0.24979758,-0.25614156,-0.26345922,-0.26885683,-0.27148121,-0.23342862,-0.22554812,-0.20880068,-0.23056063,-1.47186017,-0.25039895
8,3088840,-0.24467629,-0.24979758,-0.25614156,-0.26345922,-0.26885683,-0.25039895,-0.23342862,-0.22554812,-0.20880068,-1.72225912,-0.26448360
9,3098840,-0.23961406,-0.24467629,-0.24979758,-0.25614156,-0.26345922,-0.26448360,-0.25039895,-0.23342862,-0.22554812,-1.98674271,-0.27489008
10,3108840,-0.23518113,-0.23961406,-0.24467629,-0.24979758,-0.25614156,-0.27489008,-0.26448360,-0.25039895,-0.23342862,-2.26163279,-0.29068868
11,3118840,-0.23099158,-0.23518113,-0.23961406,-0.24467629,-0.24979758,-0.29068868,-0.27489008,-0.26448360,-0.25039895,-2.55232147,-0.30510407
12,3128840,-0.22560085,-0.23099158,-0.23518113,-0.23961406,-0.24467629,-0.30510407,-0.29068868,-0.27489008,-0.26448360,-2.85742554,-0.31550832
13,3138840,-0.21699695,-0.22560085,-0.23099158,-0.23518113,-0.23961406,-0.31550832,-0.30510407,-0.29068868,-0.27489008,-3.17293386,-0.32056285
14,3148840,-0.20741288,-0.21699695,-0.22560085,-0.23099158,-0.23518113,-0.32056285,-0.31550832,-0.30510407,-0.29068868,-3.49349671,-0.33683285
15,3158842,-0.20084578,-0.20741288,-0.21699695,-0.22560085,-0.23099158,-0.33683285,-0.32056285,-0.31550832,-0.30510407,-3.83032956,-0.36504536
16,3168841,-0.19349779,-0.20084578,-0.20741288,-0.21699695,-0.22560085,-0.36504536,-0.33683285,-0.32056285,-0.31550832,-4.19537492,-0.37357589
17,3178840,-0.18237869,-0.19349779,-0.20084578,-0.20741288,-0.21699695,-0.37357589,-0.36504536,-0.33683285,-0.32056285,-4.56895081,-0.37779283
18,3188840,-0.17216713,-0.18237869,-0.19349779,-0.20084578,-0.20741288,-0.37779283,-0.37357589,-0.36504536,-0.33683285,-4.94674363,-0.40466142
19,3198840,-0.16342688,-0.17216713,-0.18237869,-0.19349779,-0.20084578,-0.40466142,-0.37779283,-0.37357589,-0.36504536,-5.35140505,-0.42645209
20,3208843,-0.15344221,-0.16342688,-0.17216713,-0.18237869,-0.19349779,-0.42645209,-0.40466142,-0.37779283,-0.37357589,-5.77785715,-0.43853835
21,3218840,-0.14073078,-0.15344221,-0.16342688,-0.17216713,-0.18237869,-0.43853835,-0.42645209,-0.40466142,-0.37779283,-6.21639549,-0.45012387
22,3228841,-0.12763970,-0.14073078,-0.15344221,-0.16342688,-0.17216713,-0.45012387,-0.43853835,-0.42645209,-0.40466142,-6.66651936,-0.47295019
23,3238840,-0.11604823,-0.12763970,-0.14073078,-0.15344221,-0.16342688,-0.47295019,-0.45012387,-0.43853835,-0.42645209,-7.13946956,-0.49973137
24,3248840,-0.10291872,-0.11604823,-0.12763970,-0.14073078,-0.15344221,-0.49973137,-0.47295019,-0.45012387,-0.43853835,-7.63920093,-0.51312303
25,3258840,-0.08888486,-0.10291872,-0.11604823,-0.12763970,-0.14073078,-0.51312303,-0.49973137,-0.47295019,-0.45012387,-8.15232396,-0.53506006
26,3268840,-0.07345912,-0.08888486,-0.10291872,-0.11604823,-0.12763970,-0.53506006,-0.51312303,-0.49973137,-0.47295019,-8.68738402,-0.55441896
27,3278840,-0.05842041,-0.07345912,-0.08888486,-0.10291872,-0.11604823,-0.55441896,-0.53506006,-0.51312303,-0.49973137,-9.24180298,-0.58214787
28,3288840,-0.04071773,-0.05842041,-0.07345912,-0.08888486,-0.10291872,-0.58214787,-0.55441896,-0.53506006,-0.51312303,-9.82395085,-0.59596700
29,3298840,-0.02318924,-0.04071773,-0.05842041,-0.07345912,-0.08888486,-0.59596700,-0.58214787,-0.55441896,-0.53506006,-10.41991785,-0.62646155
