i,time,raw_accel,raw_gyro,kalman_accel
0,5001255,-0.71135583,-10.40185547,0.00878385
1,5003276,-0.72791123,2.11035156,0.00311675
2,5005269,-0.50568614,14.50048828,-0.00037828
3,5007262,-0.52461601,26.89062500,-0.00356371
4,5009255,-0.58138431,37.32763672,-0.00678089
5,5011260,-0.78478380,48.98535156,-0.01113033
6,5013271,-0.73031664,61.74169922,-0.01458308
7,5015263,-0.49584489,72.72802734,-0.01584449
8,5017256,-0.53835258,83.53125000,-0.01704885
9,5019251,-0.62211989,91.58789062,-0.01857859
10,5021252,-0.38599065,99.15625000,-0.01802043
11,5023261,-0.12899837,104.34423828,-0.01527676
12,5025250,-0.07736548,106.41943359,-0.01209953
13,5027239,-0.13606618,107.94531250,-0.00934117
14,5029229,-0.01720597,108.55566406,-0.00566504
15,5031229,0.19226145,108.92187500,-0.00039476
16,5033238,-0.05359498,109.47119141,0.00301068
17,5035227,-0.25312492,109.59326172,0.00483243
18,5037217,-0.02606190,107.88427734,0.00832989
19,5039207,0.09350842,105.62597656,0.01264087
20,5041207,0.09443669,105.87011719,0.01692161
21,5043217,-0.02681200,105.01562500,0.02025662
22,5045207,-0.01173904,105.80908203,0.02365583
23,5047196,0.26362809,106.60253906,0.02915401
24,5049170,0.31522377,107.94531250,0.03503060
25,5051175,0.40872518,105.50390625,0.04154200
26,5053183,0.37711145,103.18457031,0.04772490
27,5055176,0.52845626,99.21728516,0.05485592
28,5057168,0.60172572,94.70068359,0.06234085
29,5059176,0.62993868,89.69580078,0.06982327
30,5061364,0.63104445,83.65332031,0.07721338
31,5063413,0.50722385,78.58740234,0.08344496
32,5065413,0.86204885,73.21630859,0.09199564
33,5067406,0.82753213,67.29589844,0.09999638
34,5069398,0.81848513,60.09375000,0.10762566
35,5071403,1.06601528,46.66601562,0.11668353
36,5073417,0.94746939,31.95654297,0.12428275
37,5075411,0.80541089,18.10156250,0.13023682
38,5077404,0.89876109,5.10107422,0.13640114
39,5079397,0.91925638,-8.50976562,0.14221034
40,5081402,0.88780584,-25.41650391,0.14717745
41,5083416,0.89541540,-41.16357422,0.15159931
42,5085410,0.92140768,-59.59619141,0.15558532
43,5087403,0.73226574,-75.77050781,0.15751967
44,5089395,0.56512306,-87.85546875,0.15770843
45,5091399,0.58144720,-96.76660156,0.15767660
46,5093412,0.54317647,-103.96875000,0.15705733
47,5095401,0.31901516,-106.89843750,0.15462913
48,5097390,0.30655379,-106.41015625,0.15212201
49,5099383,0.42913372,-106.77636719,0.15056011
50,5101385,0.27745498,-106.16601562,0.14785241
51,5103393,0.07804537,-107.02050781,0.14359532
52,5105383,0.01039060,-104.39599609,0.13895429
53,5107372,-0.05800103,-100.00146484,0.13396387
54,5109361,-0.32700073,-94.75244141,0.12713121
55,5111362,-0.16957594,-90.35791016,0.12170326
56,5113370,-0.15835908,-85.59716797,0.11653613
57,5115360,-0.17338500,-78.39501953,0.11155545
58,5117350,-0.01285446,-75.03808594,0.10798772
59,5119339,-0.03578683,-73.45117188,0.10434493
60,5121340,0.17798382,-71.19287109,0.10242778
61,5123349,0.37549051,-69.11767578,0.10208461
62,5125339,0.30696940,-68.44628906,0.10128385
63,5127328,0.21379700,-69.36181641,0.09976204
64,5129318,0.30408465,-70.03320312,0.09891634
65,5131319,0.34527384,-70.33837891,0.09836950
66,5133328,0.32515685,-72.84082031,0.09758505
67,5135317,0.18271421,-76.13671875,0.09563889
68,5137305,0.07385817,-78.15087891,0.09279927
69,5139294,0.24578801,-79.37158203,0.09124440
70,5141295,0.27749331,-81.08056641,0.08988057
71,5143303,0.07933757,-83.33886719,0.08691610
72,5145292,0.05903237,-84.55957031,0.08379787
73,5147281,0.09914530,-84.49853516,0.08100365
74,5149270,0.17000595,-86.75683594,0.07871460
75,5151271,-0.00046312,-88.22167969,0.07507432
76,5153279,0.04801896,-88.64892578,0.07178226
77,5155268,0.09842577,-88.40478516,0.06893507
78,5157257,0.18195656,-89.38134766,0.06672779
79,5159272,0.11482067,-89.80859375,0.06398792
80,5161338,0.01864548,-89.50341797,0.06046864
81,5163374,0.03660383,-88.58789062,0.05711706
82,5165363,0.18464892,-88.83203125,0.05501507
83,5167352,0.10242820,-89.01513672,0.05231244
84,5169341,-0.02198364,-87.91650391,0.04870646
85,5171342,-0.13786191,-86.39062500,0.04428252
86,5173351,-0.10979122,-84.86474609,0.04013278
87,5175340,-0.00623824,-84.86474609,0.03685200
88,5177329,-0.00025327,-84.37646484,0.03365751
89,5179318,-0.02844868,-82.42333984,0.03032644
90,5181338,-0.09098587,-83.09472656,0.02651993
