i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
0,3009825,-0.16766644,-0.16817355,-0.16885085,-0.16958140,-0.17034250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-2.00767013
1,3019825,-0.16749810,-0.16766644,-0.16817355,-0.16885085,-0.16958140,-2.00767013,0.00000000,0.00000000,0.00000000,-2.00767013,-2.25417304
2,3029827,-0.17003111,-0.16749810,-0.16766644,-0.16817355,-0.16885085,-2.25417304,-2.00767013,0.00000000,0.00000000,-4.26184317,-3.43615973
3,3039826,-0.17862561,-0.17003111,-0.16749810,-0.16766644,-0.16817355,-3.43615973,-2.25417304,-2.00767013,0.00000000,-7.69800290,-5.81345632
4,3049825,-0.18033405,-0.17862561,-0.17003111,-0.16749810,-0.16766644,-5.81345632,-3.43615973,-2.25417304,-2.00767013,-13.51145922,-3.23643107
5,3059825,-0.17785838,-0.18033405,-0.17862561,-0.17003111,-0.16749810,-0.30387035,-5.81345632,-3.43615973,-2.25417304,-13.81532956,-4.31470644
6,3069825,-0.17459497,-0.17785838,-0.18033405,-0.17862561,-0.17003111,0.00000000,-0.30387035,-5.81345632,-3.43615973,-13.81532956,-4.92479248
7,3079825,-0.16068145,-0.17459497,-0.17785838,-0.18033405,-0.17862561,0.08806889,0.00000000,-0.30387035,-5.81345632,-13.72726067,0.71296458
8,3089825,-0.12666829,-0.16068145,-0.17459497,-0.17785838,-0.18033405,0.71296458,0.08806889,0.00000000,-0.30387035,-13.01429609,3.53471051
9,3099825,-0.08904592,-0.12666829,-0.16068145,-0.17459497,-0.17785838,3.53471051,0.71296458,0.08806889,0.00000000,-9.47958558,1.26680980
10,3109825,-0.04749852,-0.08904592,-0.12666829,-0.16068145,-0.17459497,1.26680980,3.53471051,0.71296458,0.08806889,-8.21277578,2.84902729
11,3119825,-0.01904952,-0.04749852,-0.08904592,-0.12666829,-0.16068145,2.84902729,1.26680980,3.53471051,0.71296458,-5.36374850,-0.07219731
12,3129825,-0.00103189,-0.01904952,-0.04749852,-0.08904592,-0.12666829,-0.07219731,2.84902729,1.26680980,3.53471051,-5.43594580,-1.20727921
13,3139825,0.01525450,-0.00103189,-0.01904952,-0.04749852,-0.08904592,-1.20727921,-0.07219731,2.84902729,1.26680980,-6.64322502,1.18650082
14,3149825,0.03136597,0.01525450,-0.00103189,-0.01904952,-0.04749852,1.18650082,-1.20727921,-0.07219731,2.84902729,-5.45672420,0.12484505
15,3159825,0.05109944,0.03136597,0.01525450,-0.00103189,-0.01904952,0.12484505,1.18650082,-1.20727921,-0.07219731,-5.33187915,1.75519139
16,3169825,0.07060675,0.05109944,0.03136597,0.01525450,-0.00103189,1.75519139,0.12484505,1.18650082,-1.20727921,-3.57668776,2.41761011
17,3179825,0.08304402,0.07060675,0.05109944,0.03136597,0.01525450,2.41761011,1.75519139,0.12484505,1.18650082,-1.15907765,0.31929452
18,3189825,0.09295304,0.08304402,0.07060675,0.05109944,0.03136597,0.31929452,2.41761011,1.75519139,0.12484505,-0.83978313,2.20303387
19,3199825,0.10387434,0.09295304,0.08304402,0.07060675,0.05109944,2.20303387,0.31929452,2.41761011,1.75519139,1.36325074,3.01877341
20,3209825,0.11860300,0.10387434,0.09295304,0.08304402,0.07060675,3.01877341,2.20303387,0.31929452,2.41761011,4.38202415,3.55876993
21,3219825,0.13026925,0.11860300,0.10387434,0.09295304,0.08304402,3.55876993,3.01877341,2.20303387,0.31929452,7.94079408,3.73011640
22,3229825,0.14054251,0.13026925,0.11860300,0.10387434,0.09295304,3.73011640,3.55876993,3.01877341,2.20303387,11.67091048,4.54866477
23,3239825,0.15118805,0.14054251,0.13026925,0.11860300,0.10387434,2.16411187,3.73011640,3.55876993,3.01877341,13.83502235,5.37158559
24,3249825,0.16358759,0.15118805,0.14054251,0.13026925,0.11860300,0.00000000,2.16411187,3.73011640,3.55876993,13.83502235,5.66499148
25,3259825,0.14947769,0.16358759,0.15118805,0.14054251,0.13026925,0.00000000,0.00000000,2.16411187,3.73011640,13.83502235,-2.92161601
26,3269825,0.11360889,0.14947769,0.16358759,0.15118805,0.14054251,-2.92161601,0.00000000,0.00000000,2.16411187,10.91340634,-4.66130574
27,3279825,0.07067586,0.11360889,0.14947769,0.16358759,0.15118805,-4.66130574,-2.92161601,0.00000000,0.00000000,6.25210059,-3.10956835
28,3289825,0.03466952,0.07067586,0.11360889,0.14947769,0.16358759,-3.10956835,-4.66130574,-2.92161601,0.00000000,3.14253225,-2.03545549
29,3299825,0.00627202,0.03466952,0.07067586,0.11360889,0.14947769,-2.03545549,-3.10956835,-4.66130574,-2.92161601,1.10707676,-1.94693947
30,3309825,-0.01285784,0.00627202,0.03466952,0.07067586,0.11360889,-1.94693947,-2.03545549,-3.10956835,-4.66130574,-0.83986271,-0.32562109
31,3319825,-0.04172201,-0.01285784,0.00627202,0.03466952,0.07067586,-0.32562109,-1.94693947,-2.03545549,-3.10956835,-1.16548380,-4.99376670
32,3329825,-0.06502669,-0.04172201,-0.01285784,0.00627202,0.03466952,-4.99376670,-0.32562109,-1.94693947,-2.03545549,-6.15925050,-2.20940772
33,3339825,-0.07651106,-0.06502669,-0.04172201,-0.01285784,0.00627202,-2.20940772,-4.99376670,-0.32562109,-1.94693947,-8.36865822,-0.53869909
34,3349825,-0.07777914,-0.07651106,-0.06502669,-0.04172201,-0.01285784,-0.53869909,-2.20940772,-4.99376670,-0.32562109,-8.90735731,-2.14627617
35,3359828,-0.07029763,-0.07777914,-0.07651106,-0.06502669,-0.04172201,-2.14627617,-0.53869909,-2.20940772,-4.99376670,-11.05363348,0.23097873
36,3369828,-0.05401216,-0.07029763,-0.07777914,-0.07651106,-0.06502669,0.23097873,-2.14627617,-0.53869909,-2.20940772,-10.82265475,0.99446557
37,3379825,-0.02816549,-0.05401216,-0.07029763,-0.07777914,-0.07651106,0.99446557,0.23097873,-2.14627617,-0.53869909,-9.82818917,1.51970850
38,3389825,-0.00389326,-0.02816549,-0.05401216,-0.07029763,-0.07777914,1.51970850,0.99446557,0.23097873,-2.14627617,-8.30848068,0.98585561
39,3399825,0.01963931,-0.00389326,-0.02816549,-0.05401216,-0.07029763,0.98585561,1.51970850,0.99446557,0.23097873,-7.32262507,1.46035984
40,3409825,0.04179226,0.01963931,-0.00389326,-0.02816549,-0.05401216,1.46035984,0.98585561,1.51970850,0.99446557,-5.86226523,1.65724176
41,3419825,0.07074143,0.04179226,0.01963931,-0.00389326,-0.02816549,1.65724176,1.46035984,0.98585561,1.51970850,-4.20502348,4.00371204
42,3429824,0.09565392,0.07074143,0.04179226,0.01963931,-0.00389326,4.00371204,1.65724176,1.46035984,0.98585561,-0.20131144,2.54812078
43,3439828,0.11325883,0.09565392,0.07074143,0.04179226,0.01963931,2.54812078,4.00371204,1.65724176,1.46035984,2.34680935,2.21042209
44,3449826,0.13588560,0.11325883,0.09565392,0.07074143,0.04179226,2.21042209,2.54812078,4.00371204,1.65724176,4.55723144,6.26435134
45,3459825,0.15279460,0.13588560,0.11325883,0.09565392,0.07074143,6.26435134,2.21042209,2.54812078,4.00371204,10.82158278,3.44113472
46,3469825,0.17111686,0.15279460,0.13588560,0.11325883,0.09565392,3.44113472,6.26435134,2.21042209,2.54812078,14.26271750,6.22454508
47,3479825,0.19667956,0.17111686,0.15279460,0.13588560,0.11325883,-0.70103611,3.44113472,6.26435134,2.21042209,13.56168139,9.46790080
48,3489825,0.20048656,0.19667956,0.17111686,0.15279460,0.13588560,0.00000000,-0.70103611,3.44113472,6.26435134,13.56168139,-0.25516260
49,3499825,0.16998236,0.20048656,0.19667956,0.17111686,0.15279460,-0.25516260,0.00000000,-0.70103611,3.44113472,13.30651878,-6.49505833
50,3509825,0.13276853,0.16998236,0.20048656,0.19667956,0.17111686,-6.49505833,-0.25516260,0.00000000,-0.70103611,6.81146045,-1.37378676
51,3519825,0.09865358,0.13276853,0.16998236,0.20048656,0.19667956,-1.37378676,-6.49505833,-0.25516260,0.00000000,5.43767369,-0.84725531
52,3529825,0.07615209,0.09865358,0.13276853,0.16998236,0.20048656,-0.84725531,-1.37378676,-6.49505833,-0.25516260,4.59041839,-0.58931657
53,3539825,0.06180698,0.07615209,0.09865358,0.13276853,0.16998236,-0.58931657,-0.84725531,-1.37378676,-6.49505833,4.00110181,2.33188956
54,3549825,0.04974131,0.06180698,0.07615209,0.09865358,0.13276853,2.33188956,-0.58931657,-0.84725531,-1.37378676,6.33299137,0.70704122
55,3559826,0.03835083,0.04974131,0.06180698,0.07615209,0.09865358,0.70704122,2.33188956,-0.58931657,-0.84725531,7.04003259,0.78510452
56,3569825,0.02854728,0.03835083,0.04974131,0.06180698,0.07615209,0.78510452,0.70704122,2.33188956,-0.58931657,7.82513711,1.98184311
57,3579825,0.02247592,0.02854728,0.03835083,0.04974131,0.06180698,1.98184311,0.78510452,0.70704122,2.33188956,9.80698022,1.57851199
58,3589825,0.01919762,0.02247592,0.02854728,0.03835083,0.04974131,1.57851199,1.98184311,0.78510452,0.70704122,11.38549221,2.16727040
59,3599825,0.02430814,0.01919762,0.02247592,0.02854728,0.03835083,2.16727040,1.57851199,1.98184311,0.78510452,13.55276261,4.53675830
60,3609825,0.03322487,0.02430814,0.01919762,0.02247592,0.02854728,0.27816881,2.16727040,1.57851199,1.98184311,13.83093142,3.67708670
61,3619825,0.02693673,0.03322487,0.02430814,0.01919762,0.02247592,0.00000000,0.27816881,2.16727040,1.57851199,13.83093142,-1.17113371
62,3629825,0.01297053,0.02693673,0.03322487,0.02430814,0.01919762,-1.17113371,0.00000000,0.27816881,2.16727040,12.65979771,-1.33751776
63,3639825,-0.00541715,0.01297053,0.02693673,0.03322487,0.02430814,-1.33751776,-1.17113371,0.00000000,0.27816881,11.32227995,-1.25134404
64,3649825,-0.02868479,-0.00541715,0.01297053,0.02693673,0.03322487,-1.25134404,-1.33751776,-1.17113371,0.00000000,10.07093591,-2.51864045
65,3659826,-0.05013114,-0.02868479,-0.00541715,0.01297053,0.02693673,-2.51864045,-1.25134404,-1.33751776,-1.17113371,7.55229545,-1.38811207
66,3669829,-0.06917906,-0.05013114,-0.02868479,-0.00541715,0.01297053,-1.38811207,-2.51864045,-1.25134404,-1.33751776,6.16418338,-1.59591689
67,3679824,-0.08488149,-0.06917906,-0.05013114,-0.02868479,-0.00541715,-1.59591689,-1.38811207,-2.51864045,-1.25134404,4.56826650,-1.92145709
68,3689828,-0.09596866,-0.08488149,-0.06917906,-0.05013114,-0.02868479,-1.92145709,-1.59591689,-1.38811207,-2.51864045,2.64680941,-1.01734431
69,3699825,-0.10669074,-0.09596866,-0.08488149,-0.06917906,-0.05013114,-1.01734431,-1.92145709,-1.59591689,-1.38811207,1.62946510,-2.41976007
70,3709827,-0.11694198,-0.10669074,-0.09596866,-0.08488149,-0.06917906,-2.41976007,-1.01734431,-1.92145709,-1.59591689,-0.79029497,-2.69402035
71,3719824,-0.13540121,-0.11694198,-0.10669074,-0.09596866,-0.08488149,-2.69402035,-2.41976007,-1.01734431,-1.92145709,-3.48431532,-5.21709730
72,3729825,-0.15022543,-0.13540121,-0.11694198,-0.10669074,-0.09596866,-5.21709730,-2.69402035,-2.41976007,-1.01734431,-8.70141262,-4.04428537
73,3739828,-0.15892515,-0.15022543,-0.13540121,-0.11694198,-0.10669074,-4.04428537,-5.21709730,-2.69402035,-2.41976007,-12.74569799,-3.86989978
74,3749825,-0.17018231,-0.15892515,-0.15022543,-0.13540121,-0.11694198,-1.06201573,-4.04428537,-5.21709730,-2.69402035,-13.80771372,-6.88028212
