i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
0,3008903,0.00678684,0.00688166,0.00693922,0.00687156,0.00681136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03674627
1,3018903,0.00676156,0.00678684,0.00688166,0.00693922,0.00687156,0.03674627,0.00000000,0.00000000,0.00000000,0.03674627,0.04293890
2,3028912,0.00663864,0.00676156,0.00678684,0.00688166,0.00693922,0.04293890,0.03674627,0.00000000,0.00000000,0.07968517,0.03367180
3,3038911,0.00657092,0.00663864,0.00676156,0.00678684,0.00688166,0.03367180,0.04293890,0.03674627,0.00000000,0.11335697,0.04499924
4,3048912,0.00694192,0.00657092,0.00663864,0.00676156,0.00678684,0.04499924,0.03367180,0.04293890,0.03674627,0.15835621,0.07205631
5,3058906,0.00717921,0.00694192,0.00657092,0.00663864,0.00676156,0.07205631,0.04499924,0.03367180,0.04293890,0.23041252,0.04348190
6,3068904,0.00744180,0.00717921,0.00694192,0.00657092,0.00663864,0.04348190,0.07205631,0.04499924,0.03367180,0.27389442,0.05535806
7,3078906,0.00708454,0.00744180,0.00717921,0.00694192,0.00657092,0.05535806,0.04348190,0.07205631,0.04499924,0.32925249,0.01167985
8,3088904,0.00625829,0.00708454,0.00744180,0.00717921,0.00694192,0.01167985,0.05535806,0.04348190,0.07205631,0.34093234,0.00040156
9,3098903,0.00697171,0.00625829,0.00708454,0.00744180,0.00717921,0.00040156,0.01167985,0.05535806,0.04348190,0.34133390,0.13008582
10,3108903,0.00435750,0.00697171,0.00625829,0.00708454,0.00744180,0.13008582,0.00040156,0.01167985,0.05535806,0.47141971,-0.18320506
11,3118903,0.00217938,0.00435750,0.00697171,0.00625829,0.00708454,-0.18320506,0.13008582,0.00040156,0.01167985,0.28821466,-0.00777171
12,3128903,0.00016884,0.00217938,0.00435750,0.00697171,0.00625829,-0.00777171,-0.18320506,0.13008582,0.00040156,0.28044294,-0.02656557
13,3138903,-0.00168478,0.00016884,0.00217938,0.00435750,0.00697171,-0.02656557,-0.00777171,-0.18320506,0.13008582,0.25387738,-0.06507074
14,3148903,-0.00292090,-0.00168478,0.00016884,0.00217938,0.00435750,-0.06507074,-0.02656557,-0.00777171,-0.18320506,0.18880664,-0.00545902
15,3158904,-0.00380915,-0.00292090,-0.00168478,0.00016884,0.00217938,-0.00545902,-0.06507074,-0.02656557,-0.00777171,0.18334762,-0.02894902
16,3168903,-0.00429939,-0.00380915,-0.00292090,-0.00168478,0.00016884,-0.02894902,-0.00545902,-0.06507074,-0.02656557,0.15439860,-0.02190859
17,3178903,-0.00485273,-0.00429939,-0.00380915,-0.00292090,-0.00168478,-0.02190859,-0.02894902,-0.00545902,-0.06507074,0.13249001,-0.04090808
18,3188903,-0.00515751,-0.00485273,-0.00429939,-0.00380915,-0.00292090,-0.04090808,-0.02190859,-0.02894902,-0.00545902,0.09158193,-0.02851115
19,3198903,-0.00500808,-0.00515751,-0.00485273,-0.00429939,-0.00380915,-0.02851115,-0.04090808,-0.02190859,-0.02894902,0.06307078,-0.00749580
20,3208903,-0.00639179,-0.00500808,-0.00515751,-0.00485273,-0.00429939,-0.00749580,-0.02851115,-0.04090808,-0.02190859,0.05557498,-0.14051410
21,3218903,-0.00792596,-0.00639179,-0.00500808,-0.00515751,-0.00485273,-0.14051410,-0.00749580,-0.02851115,-0.04090808,-0.08493912,-0.08596753
22,3228903,-0.00984590,-0.00792596,-0.00639179,-0.00500808,-0.00515751,-0.08596753,-0.14051410,-0.00749580,-0.02851115,-0.17090665,-0.11930561
