PWM;ADC
0; 0.000000
5; 0.000000
10; 0.000000
15; 0.000000
20; 0.000000
25; 0.000000
30; 0.000000
35; 0.000000
40; 0.000000
45; 0.000000
50; 0.000000
55; 0.000000
60; 0.000000
65; 0.000000
70; 0.000000
75; 0.000000
80; 0.000000
85; 0.000000
90; 0.000000
95; 0.000000
100; 0.000000
105; 0.000000
110; 0.000000
115; 0.000000
120; 0.000000
125; 0.000000
130; 0.000000
135; 0.000000
140; 0.000000
145; 0.000000
150; 0.040000
155; 0.070000
160; 0.220000
165; 0.790000
170; 2.780000
175; 5.690000
180; 10.480000
185; 14.450000
190; 19.220000
195; 23.710000
200; 29.660000
205; 36.100000
210; 42.320000
215; 45.620000
220; 47.200000
225; 52.240000
230; 57.180000
235; 62.120000
240; 65.690000
245; 70.140000
250; 74.140000
255; 81.210000
260; 82.010000
265; 89.420000
270; 93.530000
275; 102.990000
280; 106.030000
285; 110.320000
290; 111.710000
295; 120.460000
300; 122.510000
305; 130.810000
310; 130.430000
315; 140.910000
320; 137.720000
325; 147.670000
330; 149.880000
335; 159.180000
340; 161.850000
345; 165.020000
350; 169.660000
355; 177.370000
360; 177.480000
365; 187.250000
370; 188.790000
375; 197.340000
380; 193.800000
385; 205.550000
390; 207.230000
395; 214.750000
400; 219.720000
405; 225.230000
410; 225.760000
415; 233.200000
420; 235.880000
425; 241.010000
430; 246.150000
435; 252.080000
440; 255.270000
445; 263.780000
450; 264.510000
455; 274.030000
460; 277.700000
465; 279.420000
470; 284.080000
475; 291.890000
480; 295.920000
485; 304.510000
490; 308.190000
495; 311.800000
500; 318.730000
505; 316.780000
510; 326.500000
515; 329.200000
520; 334.560000
525; 343.690000
530; 352.130000
535; 347.390000
540; 354.120000
545; 355.360000
550; 365.350000
555; 364.820000
560; 375.400000
565; 382.110000
570; 382.870000
575; 385.110000
580; 394.140000
585; 394.860000
590; 403.160000
595; 405.300000
600; 413.870000
605; 414.710000
610; 420.220000
615; 427.990000
620; 433.240000
625; 432.560000
630; 444.370000
635; 442.030000
640; 449.890000
645; 453.230000
650; 460.100000
655; 461.050000
660; 466.960000
665; 474.810000
670; 481.540000
675; 482.810000
680; 488.650000
685; 494.830000
690; 498.380000
695; 505.500000
700; 500.520000
705; 516.540000
710; 526.030000
715; 526.730000
720; 533.060000
725; 537.650000
730; 540.590000
735; 547.340000
740; 552.590000
745; 555.080000
750; 561.300000
755; 566.050000
760; 570.520000
765; 577.230000
770; 580.530000
775; 585.500000
780; 585.630000
785; 595.040000
790; 606.730000
795; 604.730000
800; 609.080000
805; 614.620000
810; 617.250000
815; 625.060000
820; 626.160000
825; 633.450000
830; 636.470000
835; 640.610000
840; 646.220000
845; 648.640000
850; 652.760000
855; 662.600000
860; 664.780000
865; 670.950000
870; 675.920000
875; 681.080000
880; 688.830000
885; 692.550000
890; 696.990000
895; 700.060000
900; 705.300000
905; 708.930000
910; 714.640000
915; 718.900000
920; 724.690000
925; 726.740000
930; 733.660000
935; 738.180000
940; 745.860000
945; 750.130000
950; 757.010000
955; 758.500000
960; 764.250000
965; 769.300000
970; 775.100000
975; 778.900000
980; 783.570000
985; 787.470000
990; 795.160000
995; 799.330000
1000; 804.250000
1005; 808.040000
1010; 823.950000
1015; 818.270000
1020; 824.430000
1025; 830.210000
1030; 833.440000
1035; 838.690000
1040; 843.590000
1045; 848.370000
1050; 853.130000
1055; 859.880000
1060; 864.020000
1065; 868.210000
1070; 873.340000
1075; 878.510000
1080; 882.880000
1085; 888.410000
1090; 893.230000
1095; 898.070000
1100; 910.550000
1105; 907.960000
1110; 912.590000
1115; 918.960000
1120; 922.340000
1125; 929.160000
1130; 938.340000
1135; 937.910000
1140; 942.370000
1145; 946.450000
1150; 951.510000
1155; 956.990000
1160; 961.360000
1165; 967.450000
1170; 971.430000
1175; 978.560000
1180; 981.160000
1185; 988.140000
1190; 990.110000
1195; 996.960000
1200; 1001.700000
1205; 1008.070000
1210; 1010.300000
1215; 1020.050000
1220; 1026.770000
1225; 1027.830000
1230; 1032.580000
1235; 1040.410000
1240; 1046.660000
1245; 1051.670000
1250; 1056.240000
1255; 1062.860000
1260; 1067.270000
1265; 1072.190000
1270; 1077.820000
1275; 1082.960000
1280; 1086.050000
1285; 1091.300000
1290; 1095.140000
1295; 1101.130000
1300; 1106.130000
1305; 1107.160000
1310; 1116.480000
1315; 1121.070000
1320; 1125.470000
1325; 1130.880000
1330; 1134.670000
1335; 1141.070000
1340; 1144.330000
1345; 1148.660000
1350; 1154.120000
1355; 1161.060000
1360; 1163.520000
1365; 1171.120000
