PWM;ADC
0; 0.000000
5; 0.000000
10; 0.000000
15; 0.000000
20; 0.000000
25; 0.000000
30; 0.000000
35; 0.000000
40; 0.000000
45; 0.000000
50; 0.000000
55; 0.000000
60; 0.000000
65; 0.000000
70; 0.000000
75; 0.000000
80; 0.000000
85; 0.000000
90; 0.000000
95; 0.000000
100; 0.000000
105; 0.000000
110; 0.000000
115; 0.000000
120; 0.000000
125; 0.000000
130; 0.000000
135; 0.000000
140; 0.000000
145; 0.000000
150; 0.000000
155; 1.760000
160; 0.000000
165; 0.000000
170; 0.000000
175; 0.000000
180; 0.000000
185; 0.000000
190; 0.000000
195; 0.000000
200; 0.000000
205; 0.000000
210; 0.000000
215; 0.000000
220; 0.000000
225; 0.000000
230; 0.000000
235; 0.000000
240; 0.360000
245; 0.480000
250; 0.790000
255; 0.000000
260; 0.000000
265; 0.040000
270; 0.000000
275; 0.120000
280; 0.040000
285; 0.890000
290; 0.250000
295; 0.880000
300; 0.610000
305; 0.620000
310; 0.670000
315; 0.820000
320; 0.710000
325; 1.420000
330; 0.870000
335; 1.590000
340; 8.810000
345; 1.950000
350; 1.160000
355; 2.620000
360; 2.480000
365; 3.410000
370; 4.160000
375; 3.740000
380; 5.470000
385; 7.490000
390; 7.400000
395; 11.660000
400; 14.640000
405; 17.430000
410; 18.690000
415; 21.140000
420; 21.930000
425; 26.790000
430; 27.710000
435; 29.730000
440; 35.540000
445; 36.390000
450; 38.830000
455; 49.300000
460; 45.650000
465; 48.840000
470; 51.040000
475; 53.120000
480; 57.450000
485; 58.630000
490; 60.750000
495; 62.940000
500; 66.150000
505; 68.320000
510; 70.930000
515; 73.010000
520; 75.180000
525; 78.280000
530; 82.220000
535; 83.910000
540; 87.320000
545; 89.110000
550; 91.800000
555; 95.560000
560; 94.860000
565; 99.100000
570; 101.610000
575; 105.890000
580; 107.390000
585; 110.830000
590; 115.900000
595; 118.520000
600; 120.130000
605; 121.250000
610; 125.460000
615; 127.450000
620; 131.810000
625; 134.210000
630; 137.570000
635; 139.220000
640; 141.980000
645; 145.130000
650; 148.090000
655; 150.480000
660; 152.950000
665; 155.610000
670; 160.010000
675; 162.580000
680; 165.010000
685; 168.610000
690; 171.900000
695; 175.410000
700; 177.910000
705; 181.920000
710; 183.860000
715; 185.430000
720; 189.610000
725; 193.480000
730; 194.480000
735; 198.520000
740; 201.980000
745; 206.180000
750; 208.150000
755; 211.430000
760; 213.820000
765; 218.680000
770; 221.870000
775; 223.810000
780; 226.490000
785; 232.290000
790; 232.590000
795; 236.060000
800; 241.620000
805; 246.160000
810; 248.310000
815; 249.570000
820; 253.150000
825; 256.190000
830; 261.270000
835; 264.370000
840; 268.730000
845; 271.000000
850; 274.430000
855; 277.420000
860; 281.790000
865; 284.990000
870; 287.070000
875; 291.760000
880; 295.610000
885; 296.940000
890; 302.500000
895; 307.620000
900; 309.770000
905; 312.770000
910; 317.670000
915; 320.630000
920; 324.470000
925; 326.990000
930; 331.290000
935; 334.510000
940; 338.990000
945; 341.710000
950; 344.310000
955; 349.890000
960; 350.350000
965; 355.210000
970; 358.920000
975; 363.460000
980; 367.130000
985; 370.900000
990; 374.610000
995; 378.240000
1000; 382.060000
1005; 385.330000
1010; 391.260000
1015; 395.260000
1020; 397.520000
1025; 399.520000
1030; 405.820000
1035; 409.460000
1040; 412.970000
1045; 415.990000
1050; 418.500000
1055; 424.050000
1060; 427.690000
1065; 430.770000
1070; 436.560000
1075; 440.400000
1080; 443.990000
1085; 446.880000
1090; 451.270000
1095; 456.600000
1100; 459.670000
1105; 464.000000
1110; 468.190000
1115; 473.350000
1120; 477.710000
1125; 481.230000
1130; 485.150000
1135; 490.020000
1140; 495.160000
1145; 500.260000
1150; 502.110000
1155; 508.080000
1160; 512.440000
1165; 517.830000
1170; 522.820000
1175; 528.650000
1180; 531.570000
1185; 537.370000
1190; 541.760000
1195; 546.030000
1200; 552.850000
1205; 554.870000
1210; 561.910000
1215; 565.410000
1220; 568.810000
1225; 574.550000
1230; 575.010000
1235; 585.880000
1240; 588.700000
1245; 594.420000
1250; 598.240000
1255; 602.960000
1260; 599.010000
1265; 612.670000
1270; 617.120000
1275; 620.570000
1280; 625.500000
1285; 641.140000
1290; 637.670000
1295; 642.710000
1300; 647.480000
1305; 652.320000
1310; 657.930000
1315; 662.160000
1320; 665.880000
1325; 671.160000
1330; 678.500000
1335; 680.870000
1340; 687.210000
1345; 699.060000
1350; 698.420000
1355; 704.160000
1360; 708.480000
1365; 713.440000
1370; 719.540000
1375; 723.770000
1380; 729.860000
1385; 735.500000
